Shop Name,Shop Address,Lat,Lng,Maps URL,Total Violations,Near Worship,Near Schools,Near Bus Stands,Status
TASMAC BAR,"95M9+F2F, Unnamed Road, Karakonam",8.3836835,77.1675686,https://www.google.com/maps/place/?q=place_id:ChIJJS6tXJGtBTsRWgPfyGFc8DI,66,62,4,0,VIOLATION
Wine shop,"C56Q+CQ8, Cheriyakolla",8.411015299999999,77.1894384,https://www.google.com/maps/place/?q=place_id:ChIJX6IZP2GtBTsRMUAQd0hlskE,62,62,0,0,VIOLATION
Tasmac,"P9GV+326, Unnamed Road, Vickramasingapuram",8.725136599999999,77.39255380000002,https://www.google.com/maps/place/?q=place_id:ChIJDS-y7IA7BDsR6htcQSOVy1M,26,26,0,0,VIOLATION
TASMAC,"Q9Q3+GRJ, Sivasailam Rd, Kalyanipuram",8.7888384,77.3545298,https://www.google.com/maps/place/?q=place_id:ChIJay1F8KkxBDsRZ8lQgE3JzBM,30,30,0,0,VIOLATION
Tasmac,"X6HX+G7H, SH 39, Shenkottai",8.9788128,77.2482225,https://www.google.com/maps/place/?q=place_id:ChIJ78qcQ5qBBjsRENvfxH58ntw,71,68,3,0,VIOLATION
Beverages Corporation,"X38F+V67, SH 39, Thenmala",8.967181199999999,77.0730547,https://www.google.com/maps/place/?q=place_id:ChIJMWd639Z5BjsRyR7fHmvkyzI,60,60,0,0,VIOLATION
TASMAC,"VJ6Q+7C2, Manur",8.860641,77.638503,https://www.google.com/maps/place/?q=place_id:ChIJT5C_s5oZBDsR70i5Y0xt81Y,3,3,0,0,VIOLATION
Tasmac,"WGM8+5W8, Tirunelveli",8.932936699999999,77.5173159,https://www.google.com/maps/place/?q=place_id:ChIJY6bXtKohBDsR_1zqSBLkIqw,4,4,0,0,VIOLATION
Tasmac Bar,"QPMG+Q4F, Rajavalipuram Rd, Thalaiyuthu",8.784470299999999,77.7252999,https://www.google.com/maps/place/?q=place_id:ChIJn48oUB0RBDsR0oX4aaxbrzs,83,74,6,3,VIOLATION
TASMAC BAR,"QPH9+FMG, Tirunelveli",8.7786785,77.7192109,https://www.google.com/maps/place/?q=place_id:ChIJLYfoRrsRBDsRFX7kIIwH3QE,60,60,0,0,VIOLATION
Tasmac,"XJVM+F5, Vanniconendal",8.993645899999999,77.6329045,https://www.google.com/maps/place/?q=place_id:ChIJp7LZuFmhBjsRslwiV2lQ2bQ,2,2,0,0,VIOLATION
TASMAC Shop,"VR23+X35, Anaithalaiyur, Gangaikondan",8.8523862,77.8027278,https://www.google.com/maps/place/?q=place_id:ChIJ2_vwmp4FBDsRkCnlZE6Fpj0,3,3,0,0,VIOLATION
TASMAC மதுபானக்கடை,"WJ7R+497, Alagiapandiapuram",8.912771,77.64090809999999,https://www.google.com/maps/place/?q=place_id:ChIJPWEpgsEfBDsRIFNU_6_QWtw,14,14,0,0,VIOLATION
Bar Government Wineshop,nadukallur 627010,8.7458187,77.59166619999999,https://www.google.com/maps/place/?q=place_id:ChIJUXiZwmkXBDsR3iGSbQzhaOs,2,2,0,0,VIOLATION
Wine Shop,"PPQ4+M9G, Sivasakthi Rd, Thattarmadam, Tirunelveli",8.7391908,77.70593970000002,https://www.google.com/maps/place/?q=place_id:ChIJWXm-4psRBDsRHKfJ7NHJ98M,61,60,0,1,VIOLATION
TASMAC SHOP,"PJJJ+2FX, Thiruppani Karisal Kulam",8.730112,77.6312454,https://www.google.com/maps/place/?q=place_id:ChIJ4YWGoqIWBDsRDi_5hHAxXMg,30,30,0,0,VIOLATION
TASMAC Wine Shop,"MHF9+8WJ, Tirunelveli - Shencottai Rd, Cheranmahadevi",8.6733716,77.5697778,https://www.google.com/maps/place/?q=place_id:ChIJ8f5j5XgVBDsRVPJvM0L9ezw,64,63,0,1,VIOLATION
Tasmac,"MHF8+V8W, Cheranmahadevi",8.674728499999999,77.56583810000001,https://www.google.com/maps/place/?q=place_id:ChIJdSSIEyQVBDsRH3voxlgI9gc,74,70,4,0,VIOLATION
Tasmac Bar,"PC28+CQ7, Unnamed Road, Sivanthipuram",8.7010425,77.41696499999999,https://www.google.com/maps/place/?q=place_id:ChIJmeqCFJs5BDsRrTcfCmhuLiM,22,22,0,0,VIOLATION
Tasmac - Thuppakudi,"QC8V+7F, Anaindaperumalnadanur",8.7657318,77.44374839999999,https://www.google.com/maps/place/?q=place_id:ChIJV2evcGQ7BDsRwCAqYJf366M,7,7,0,0,VIOLATION
"Wine Shop, Paapakudi","QG65+X6F, keezha paapakudi, Kasidharmam",8.7624443,77.5080487,https://www.google.com/maps/place/?q=place_id:ChIJgweFAvk8BDsROYw1JU1rqTE,11,11,0,0,VIOLATION
Wine shop,"RC3X+6RQ, Theertharappapuram Road, Anjankattalai, Madathoor",8.8030954,77.4496254,https://www.google.com/maps/place/?q=place_id:ChIJJ8Rqy1UlBDsRjCnbTvApHH4,1,1,0,0,VIOLATION
TASMAC,"RR9Q+7V5, Savalaperi, Alanda",8.8180873,77.8397425,https://www.google.com/maps/place/?q=place_id:ChIJGdxzdU0HBDsR7ft8P52JViI,5,5,0,0,VIOLATION
wine shop,"V2JG+FF4, Thoothukudi",8.881133600000002,78.02619,https://www.google.com/maps/place/?q=place_id:ChIJsQIVG8P7AzsRgz4IWRO4LQ8,27,27,0,0,VIOLATION
Tasmac Bar,"W9C6+9PC, Kulasekarapatti",8.9209356,77.3617634,https://www.google.com/maps/place/?q=place_id:ChIJe8WWoo4oBDsRV9NivkQPPYo,46,46,0,0,VIOLATION
Wine shop { bar },"24/F Santhani, Thoppu West Street, 6 Ward, Keezhapavur",8.911897399999999,77.40223019999999,https://www.google.com/maps/place/?q=place_id:ChIJHcEG1AYnBDsRy8mjz4Oa4rQ,9,9,0,0,VIOLATION
KANDAMANGALAM WINE SHOP BAR,"No 1, WINE SHOP, Courtalam Road, Kandamangalam, Kallurani",8.9083047,77.3645639,https://www.google.com/maps/place/?q=place_id:ChIJA1dV3BspBDsRX-s3V6_s_xY,39,39,0,0,VIOLATION
VENGADAMPATTI WINE SHOP BAR,"Wine Shop Bar, No 1, Vengadampatti",8.8558285,77.41048769999999,https://www.google.com/maps/place/?q=place_id:ChIJEzCeX1UlBDsRYhAh-FhtM6o,24,24,0,0,VIOLATION
